s,e,it,v,n,wr,pf,ret,dd,expo,avg
THYAO,BIST,1h,E2_ST,44,43.18181818181818,0.9340598939147184,-4.08884742738379,-22.901052045301494,38.7,-0.022720764897839574
THYAO,BIST,1h,E1_ST,78,48.717948717948715,1.268896051490555,28.36509940644718,-23.961752239432233,70.14,0.3919373416585133
THYAO,BIST,1h,ST_ONLY,102,36.27450980392157,0.9547575512699917,-5.235698701990421,-26.999817763556898,54.66,-0.011112990896282942
THYAO,BIST,1h,E2_TIME20,50,50.0,0.9073133159546846,-5.313186257254399,-24.511645375523983,21.0,-0.06806068673048027
THYAO,BIST,1h,E2_RSI50,46,52.17391304347826,0.5233142166540096,-16.344235813638917,-20.783513960651277,11.3,-0.3709203837397865
GARAN,BIST,4h,E2_ST,44,61.36363636363637,2.2044421440700614,184.26807327663667,-38.33943119565465,37.28,2.8047011328707865
GARAN,BIST,4h,E1_ST,70,54.285714285714285,1.8767594031345942,524.5967330167831,-43.87310891346547,63.18,3.369076869419011
GARAN,BIST,4h,ST_ONLY,102,45.09803921568628,1.4268152578728985,376.3640550564233,-44.21201388594048,55.78,2.027820964297723
GARAN,BIST,4h,E2_TIME20,49,59.183673469387756,1.5359771106643207,81.77161144098271,-33.68222864674176,20.58,1.5140059579922733
GARAN,BIST,4h,E2_RSI50,49,77.55102040816327,2.3683462592682476,67.42081907554504,-34.999483718752614,6.22,1.1383874169906996
GARAN,BIST,1h,E2_ST,47,46.808510638297875,1.152684074467176,10.386608199282898,-24.128392400048003,41.18,0.3128430138715765
GARAN,BIST,1h,E1_ST,78,47.43589743589744,1.1777221759452234,21.28801129922644,-28.23927901877018,68.92,0.3450762617262858
GARAN,BIST,1h,ST_ONLY,100,37.0,0.9406676274536261,-8.312377636054958,-27.145883573964944,53.0,-0.016596276214860484
GARAN,BIST,1h,E2_TIME20,53,50.943396226415096,1.0635602800975066,3.8266502870879737,-17.71855899472481,22.26,0.11271792476205636
GARAN,BIST,1h,E2_RSI50,54,64.81481481481481,1.0134196140039187,0.42687125206255505,-13.621267198149646,11.46,0.028245928770073807
ASELS,BIST,4h,E2_ST,37,75.67567567567568,5.423441948228926,636.5290329341806,-23.99947334629472,38.84,6.083542792581512
ASELS,BIST,4h,E1_ST,62,64.51612903225806,4.122475343048323,1610.8211077810754,-26.749569155943654,69.96,5.2845118588809585
ASELS,BIST,4h,ST_ONLY,81,50.617283950617285,2.758953980098866,3178.047663310997,-26.86227403565795,62.74,5.337969807063163
ASELS,BIST,4h,E2_TIME20,43,69.76744186046511,4.219262497928163,359.8464842843474,-15.295612401766668,18.06,3.866307315656491
ASELS,BIST,4h,E2_RSI50,44,75.0,3.176636982262812,58.355039066148606,-15.580059244596423,5.86,1.0794594077374409
ASELS,BIST,1h,E2_ST,37,59.45945945945946,1.9993439371331152,83.5464387822164,-19.70195668895156,34.38,1.8356676536736394
ASELS,BIST,1h,E1_ST,69,59.42028985507246,2.0943123486951256,276.62132862315605,-26.40335601097531,66.0,2.1418455687910125
ASELS,BIST,1h,ST_ONLY,95,50.526315789473685,2.2312876806756896,322.8133121432574,-17.04390428716668,54.82,1.705072049779268
ASELS,BIST,1h,E2_TIME20,45,53.333333333333336,1.4672298567000424,31.78580505077695,-20.42682659133157,18.9,0.684751566395147
ASELS,BIST,1h,E2_RSI50,43,65.11627906976744,1.3775727777561027,10.119922455247355,-13.739708962738339,7.88,0.24551237826287986
BIMAS,BIST,4h,E2_ST,35,65.71428571428571,2.3714200975112427,85.02564506330476,-26.549373385660324,32.06,1.9596995466235076
BIMAS,BIST,4h,E1_ST,71,66.19718309859155,3.8715646276557814,962.9432080865694,-28.121566054301937,68.2,3.676071492013322
BIMAS,BIST,4h,ST_ONLY,94,47.87234042553192,1.7409417856615639,356.078323495775,-33.78666357798497,57.2,1.8559519596808374
BIMAS,BIST,4h,E2_TIME20,42,66.66666666666667,3.608648181270051,204.0389909252783,-19.59514801854486,17.64,2.8199190092030175
BIMAS,BIST,4h,E2_RSI50,45,82.22222222222223,2.7771811488738516,43.56645218564186,-12.23594262996791,5.9,0.8345683327563278
BIMAS,BIST,1h,E2_ST,48,54.166666666666664,2.548001191171469,89.24300446322981,-16.04755944551821,39.3,1.411627428758464
BIMAS,BIST,1h,E1_ST,82,50.0,1.4298950672247552,53.08257249382626,-23.99943263755744,69.32,0.6035800156289194
BIMAS,BIST,1h,ST_ONLY,102,39.21568627450981,1.1013930729883405,14.833093108866734,-25.159551714175123,51.72,0.18554214786444193
BIMAS,BIST,1h,E2_TIME20,54,55.55555555555556,1.8656088982079024,57.71888638954707,-18.212179049192635,22.68,0.9234123660084492
BIMAS,BIST,1h,E2_RSI50,51,54.90196078431372,0.9087027169018687,-2.025390904892843,-16.83080837198626,10.28,-0.0286922078904716
TUPRS,BIST,4h,E2_ST,41,60.97560975609756,2.910541464996259,307.6686894777283,-43.179769027706406,41.26,4.131156542526375
TUPRS,BIST,4h,E1_ST,71,52.11267605633803,2.6086103661394238,641.031130001776,-47.58239142121178,65.92,3.3990156469933677
TUPRS,BIST,4h,ST_ONLY,93,47.31182795698925,2.7443733607766507,1913.1273300803414,-26.036532095753973,54.56,3.73095308199242
TUPRS,BIST,4h,E2_TIME20,51,45.09803921568628,1.2424139389037858,35.2953702631003,-42.239073726405366,21.42,0.8988613288733136
TUPRS,BIST,4h,E2_RSI50,47,57.4468085106383,0.5320296634375291,-32.37317542837859,-36.57092046094462,11.5,-0.6802770540416022
TUPRS,BIST,1h,E2_ST,41,53.65853658536585,2.2036229200330806,46.346961031018516,-12.17843851876237,36.52,0.9944811690244797
TUPRS,BIST,1h,E1_ST,64,48.4375,1.3645375986515444,32.45951059345682,-25.32353560673747,69.94,0.5405406577209636
TUPRS,BIST,1h,ST_ONLY,84,44.04761904761905,2.0805335009511103,123.61716581912528,-30.463986809796772,52.38,1.0674962405505704
TUPRS,BIST,1h,E2_TIME20,47,55.319148936170215,2.1255302912327387,46.62697292478168,-8.14275140187556,19.74,0.8630418119496941
TUPRS,BIST,1h,E2_RSI50,46,71.73913043478261,2.2924207148342046,18.069829276140204,-6.612222770919962,8.68,0.36955251239039466
SPY,AMEX,4h,E2_ST,29,65.51724137931035,2.7640362561047587,73.59651359010813,-17.89061923389181,24.6,2.044918887077183
SPY,AMEX,4h,E1_ST,66,62.121212121212125,1.9339414960495382,96.6250046489861,-29.56824444680054,51.9,1.1200017295890137
SPY,AMEX,4h,ST_ONLY,119,46.21848739495798,1.2761958096260542,44.861585961077324,-29.431881667175396,64.04,0.3742469091869924
SPY,AMEX,4h,E2_TIME20,28,57.142857142857146,1.8838359245799028,30.035162765929122,-17.8906192338918,11.76,1.0052698056782883
SPY,AMEX,4h,E2_RSI50,32,75.0,2.3329095199095824,22.385799776542072,-17.89061923389179,4.76,0.6504235977304383
SPY,AMEX,1h,E2_ST,34,52.94117647058823,2.682446812616485,32.29955354763332,-8.990372917327772,30.82,0.8593482670489601
SPY,AMEX,1h,E1_ST,69,44.927536231884055,1.535391208821067,26.268100547720486,-13.49512927382892,58.02,0.3642635492568861
SPY,AMEX,1h,ST_ONLY,107,33.64485981308411,1.0687258002709825,5.131857964648878,-16.61662989967805,61.16,0.06427223267583229
SPY,AMEX,1h,E2_TIME20,36,63.888888888888886,1.7749531203243496,12.551677503045688,-6.79734637730146,14.96,0.3400016076595366
SPY,AMEX,1h,E2_RSI50,36,58.333333333333336,1.832141173868911,5.655951888076571,-2.974081868797429,5.74,0.1549555324453404
QQQ,NASDAQ,4h,E2_ST,34,58.8235294117647,2.6476614523745794,114.62965565306024,-28.576977099739565,28.14,2.4787746921663794
QQQ,NASDAQ,4h,E1_ST,65,56.92307692307692,1.587095608606412,80.40423348365428,-37.956257507272774,53.42,1.0702401127516046
QQQ,NASDAQ,4h,ST_ONLY,121,47.93388429752066,1.296711233040195,61.14498834193882,-30.745890020306867,60.74,0.4894483939291569
QQQ,NASDAQ,4h,E2_TIME20,33,63.63636363636363,2.1808513485586527,58.53526662347321,-16.20708030395749,13.86,1.501150985314495
QQQ,NASDAQ,4h,E2_RSI50,35,65.71428571428571,2.132315819742264,25.176888842892154,-12.507733553309974,5.6,0.6661756367959394
QQQ,NASDAQ,1h,E2_ST,33,60.60606060606061,3.6283800140035103,60.86261799781902,-12.175612111506718,31.08,1.5272597584839291
QQQ,NASDAQ,1h,E1_ST,73,49.31506849315068,1.8074147692384794,64.06784544364392,-17.591812528849037,64.04,0.7337569933261022
QQQ,NASDAQ,1h,ST_ONLY,104,36.53846153846154,1.2725824299119353,26.677382507366353,-14.974911556868342,62.36,0.26388884346537467
